Ac	Activities
Ac_40_60_13	Circus performing	Ac_40_60
Ac_40_60_21	Dancing	Ac_40_60
Ac_40_60_29	Fashion shows	Ac_40_60
Ac_40_60_30	Filming	Ac_40_60
Ac_40_60_31	Film screening	Ac_40_60
Ac_40_60_40	Indoor theatre activities	Ac_40_60
Ac_40_60_55	Music recording	Ac_40_60
Ac_40_60_59	Outdoor theatre activities	Ac_40_60
Ac_40_60_63	Performing music indoors	Ac_40_60
Ac_40_60_64	Performing music outdoors	Ac_40_60
Ac_40_60_66	Projecting	Ac_40_60
Ac_40_65	Performing arts ancillary activities	Ac_40
Ac_40_65_03	Artiste changing and make-up	Ac_40_65
Ac_40_65_06	Backstage activities	Ac_40_65
Ac_40_65_47	Lighting controlling	Ac_40_65
Ac_40_65_55	Music recording controlling	Ac_40_65
Ac_40_65_59	Overhead scenery storing	Ac_40_65
Ac_40_65_66	Projecting	Ac_40_65
Ac_40_65_72	Rehearsing	Ac_40_65
Ac_40_65_76	Scenery controlling	Ac_40_65
Ac_40_65_79	Sound controlling	Ac_40_65
Ac_40_65_80	Sound excluding	Ac_40_65
Ac_42	Sports activities	Ac
Ac_42_15	Courts	Ac_42
Ac_42_15_30	Field athletics	Ac_42_15
Ac_42_15_42	Indoor court sports	Ac_42_15
Ac_42_15_58	Outdoor court sports	Ac_42_15
Ac_42_15_59	Outdoor field sports	Ac_42_15
Ac_42_15_90	Track athletics	Ac_42_15
Ac_42_40	Indoor sports activities	Ac_42
Ac_42_40_09	Bouldering	Ac_42_40
Ac_42_40_14	Climbing wall activities	Ac_42_40
Ac_42_40_28	Exercising	Ac_42_40
Ac_42_40_37	Gymnastics	Ac_42_40
Ac_42_40_79	Snooker	Ac_42_40
Ac_42_40_90	Ten pin bowling	Ac_42_40
Ac_42_55	Outdoor sports activities	Ac_42
Ac_42_55_01	Archery	Ac_42_55
Ac_42_55_07	BMX cycling	Ac_42_55
Ac_42_55_08	Bowling	Ac_42_55
Ac_42_55_18	Cross-country cycling	Ac_42_55
Ac_42_55_19	Cross-country rallying	Ac_42_55
Ac_42_55_20	Cross-country running	Ac_42_55
Ac_42_55_23	Dog racing	Ac_42_55
Ac_42_55_26	Equestrian dressage	Ac_42_55
Ac_42_55_27	Equestrian cross country eventing	Ac_42_55
Ac_42_55_28	Equestrian show jumping	Ac_42_55
Ac_42_55_30	Fishing	Ac_42_55
Ac_42_55_34	Golfing	Ac_42_55
Ac_42_55_39	Horse racing	Ac_42_55
Ac_42_55_53	Motor racing	Ac_42_55
Ac_42_55_58	Orienteering	Ac_42_55
Ac_42_55_60	Parkour	Ac_42_55
